record_type,epoch,step,global_step,optimizer_step,train_step_loss,train_running_loss,train_epoch_loss,val_loss,val_wer,lr,elapsed_sec,best_wer
train_step,41,24,1904,12,6.763852596282959,7.417653501033783,,,,1.2000000000000002e-06,,
train_step,41,25,1905,12,8.306366920471191,7.4532020378112795,,,,1.2000000000000002e-06,,
train_step,41,26,1906,13,6.833739280700684,7.429376547153179,,,,1.3e-06,,
train_step,41,27,1907,13,6.534115314483643,7.396218723720974,,,,1.3e-06,,
train_step,41,28,1908,14,7.35744571685791,7.394833973475865,,,,1.4000000000000001e-06,,
train_step,41,29,1909,14,7.101424694061279,7.384716412116742,,,,1.4000000000000001e-06,,
train_step,41,30,1910,15,7.265077590942383,7.3807284514109295,,,,1.5e-06,,
train_step,41,31,1911,15,7.61204719543457,7.388190346379434,,,,1.5e-06,,
train_step,41,32,1912,16,6.582076549530029,7.36299929022789,,,,1.6000000000000001e-06,,
train_step,41,33,1913,16,6.711904048919678,7.343269131400368,,,,1.6000000000000001e-06,,
train_step,41,34,1914,17,6.4795637130737305,7.3178660308613495,,,,1.7e-06,,
train_step,41,35,1915,17,6.22216796875,7.2865603719438825,,,,1.7e-06,,
train_step,41,36,1916,18,7.271840572357178,7.286151488622029,,,,1.8e-06,,
train_step,41,37,1917,18,7.7425994873046875,7.298487921018858,,,,1.8e-06,,
train_step,41,38,1918,19,6.9942779541015625,7.290482395573666,,,,1.9e-06,,
train_step,41,39,1919,19,6.853056907653809,7.279266357421875,,,,1.9e-06,,
train_step,41,40,1920,20,7.118243217468262,7.275240778923035,,,,2.0000000000000003e-06,,
train_step,41,41,1921,20,7.081192493438721,7.270507893911222,,,,2.0000000000000003e-06,,
train_step,41,42,1922,21,7.396369934082031,7.273504609153385,,,,2.1000000000000002e-06,,
train_step,41,43,1923,21,6.853873252868652,7.263745740402577,,,,2.1000000000000002e-06,,
train_step,41,44,1924,22,7.221200466156006,7.2627788023515185,,,,2.2e-06,,
train_step,41,45,1925,22,7.009360313415527,7.257147280375163,,,,2.2e-06,,
train_step,41,46,1926,23,6.864236831665039,7.248605748881465,,,,2.3e-06,,
train_step,41,47,1927,24,7.572631359100342,7.255499910801015,,,,2.4000000000000003e-06,,
epoch_summary,41,47,1927,24,,,7.255499910801015,nan,nan,2.4000000000000003e-06,17.421626329421997,0.21612232079767607
train_step,42,1,1928,24,7.5425591468811035,7.5425591468811035,,,,2.4000000000000003e-06,,
train_step,42,2,1929,25,7.188612937927246,7.365586042404175,,,,2.5e-06,,
train_step,42,3,1930,25,6.392395973205566,7.041189352671306,,,,2.5e-06,,
train_step,42,4,1931,26,7.18886137008667,7.0781073570251465,,,,2.6e-06,,
train_step,42,5,1932,26,6.763615131378174,7.015208911895752,,,,2.6e-06,,
train_step,42,6,1933,27,5.976361274719238,6.842067639033,,,,2.7000000000000004e-06,,
train_step,42,7,1934,27,7.593927383422852,6.949476173945835,,,,2.7000000000000004e-06,,
train_step,42,8,1935,28,6.459389686584473,6.888215363025665,,,,2.8000000000000003e-06,,
train_step,42,9,1936,28,6.521252632141113,6.8474417262607155,,,,2.8000000000000003e-06,,
train_step,42,10,1937,29,6.252946853637695,6.787992238998413,,,,2.9e-06,,
train_step,42,11,1938,29,6.102437496185303,6.725669080560857,,,,2.9e-06,,
train_step,42,12,1939,30,6.659217357635498,6.720131436983745,,,,3e-06,,
train_step,42,13,1940,30,5.832746982574463,6.651871094336877,,,,3e-06,,
